match_id,over_number,Batsman_team,Batsman_name,batting_style,Bowler_team,Bowler_name,Bowling_style,Run_scored,Wicket_type,Wicket,Extras,Extra,Shot_area,Ball_line,Ball_length
1,5,"Hong Kong","Babar Hayat","Right hand Bat",Afghanistan,"Allah Mohammad Ghazanfar","right arm spin",0,NULL,0,NULL,0,"leg side",In-wicket,"Full Length"
1,5,"Hong Kong","Babar Hayat","Right hand Bat",Afghanistan,"Allah Mohammad Ghazanfar","right arm spin",1,NULL,0,NULL,0,"long off","Outside Off","Good Length"
1,6,Afghanistan,"Sediqullah Atal","Left hand Bat","Hong Kong","Aizaz Khan","Right arm Fast",1,NULL,0,NULL,0,"long off","Outside Off","Full Length"
1,6,Afghanistan,"Mohammad Nabi","Right hand Bat","Hong Kong","Aizaz Khan","Right arm Fast",0,NULL,0,Wide,1,miss,"Leg Stump","Short Length"
1,6,Afghanistan,"Mohammad Nabi","Right hand Bat","Hong Kong","Aizaz Khan","Right arm Fast",2,NULL,0,NULL,0,"off side","Outside Off","Short Length"
1,6,Afghanistan,"Mohammad Nabi","Right hand Bat","Hong Kong","Aizaz Khan","Right arm Fast",4,NULL,0,NULL,0,"off side","Outside Off","Good Length"
1,6,Afghanistan,"Mohammad Nabi","Right hand Bat","Hong Kong","Aizaz Khan","Right arm Fast",6,NULL,0,NULL,0,"long off","Outside Off","Good Length"
1,6,Afghanistan,"Mohammad Nabi","Right hand Bat","Hong Kong","Aizaz Khan","Right arm Fast",1,NULL,0,NULL,0,"long off","Outside Off","Full Length"
1,6,Afghanistan,"Sediqullah Atal","Left hand Bat","Hong Kong","Aizaz Khan","Right arm Fast",0,NULL,0,NULL,0,"off side","Outside Off","Full Length"
1,6,"Hong Kong","Babar Hayat","Right hand Bat",Afghanistan,"Rashid Khan","right arm spin",2,NULL,0,NULL,0,"leg side",In-wicket,"Full Length"
1,6,"Hong Kong","Babar Hayat","Right hand Bat",Afghanistan,"Rashid Khan","right arm spin",0,NULL,0,NULL,0,"long off",In-wicket,"Full Length"
1,6,"Hong Kong","Babar Hayat","Right hand Bat",Afghanistan,"Rashid Khan","right arm spin",1,NULL,0,NULL,0,"leg side",In-wicket,"Full Length"
1,6,"Hong Kong","Kinchit Shah","left hand Bat",Afghanistan,"Rashid Khan","right arm spin",0,NULL,0,NULL,0,miss,"Outside Off","Full Length"
1,6,"Hong Kong","Kinchit Shah","left hand Bat",Afghanistan,"Rashid Khan","right arm spin",1,NULL,0,NULL,0,"off side","Outside Off","Full Length"
